difficulty	qid	sid	text	type	dep	par	answer
Discourse	mc500.train.25.8	mc500.train.25	Who threw rocks?	Story	"1	Who	who	_	WP	_	2	nsubj	_	_
2	threw	throw	_	VBD	_	0	root	_	_
3	rocks	rock	_	NNS	_	2	dobj	_	_
4	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD threw) (NP (NNS rocks)))) (. ?)))	Cindy
Discourse	mc500.train.25.12	mc500.train.25	Who yelled at Cindy?	Story	"1	Who	who	_	WP	_	2	nsubj	_	_
2	yelled	yell	_	VBD	_	0	root	_	_
3	at	at	_	IN	_	4	case	_	_
4	Cindy	Cindy	_	NNP	_	2	nmod	_	_
5	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD yelled) (PP (IN at) (NP (NNP Cindy))))) (. ?)))	Maxine's dad
Discourse	mc500.train.25.20	mc500.train.25	Who was happy?	Story	"1	Who	who	_	WP	_	0	root	_	_
2	was	be	_	VBD	_	1	cop	_	_
3	happy	happy	_	JJ	_	1	nsubj	_	_
4	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (ADJP (JJ happy))) (. ?)))	Maxine | Maxine and Thomas
Discourse	mc500.train.111.5	mc500.train.111	Where did Will eat dinner?	Story	"1	Where	where	_	WRB	_	4	advmod	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	Will	Will	_	NNP	_	4	nsubj	_	_
4	eat	eat	_	VB	_	0	root	_	_
5	dinner	dinner	_	NN	_	4	dobj	_	_
6	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (NNP Will)) (VP (VB eat) (NP (NN dinner)))) (. ?)))	in the kitchen
Discourse	mc500.train.111.14	mc500.train.111	What did will have with his biscuit?	Story	"1	What	what	_	WP	_	4	nsubj	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	will	will	_	MD	_	4	aux	_	_
4	have	have	_	VB	_	0	root	_	_
5	with	with	_	IN	_	7	case	_	_
6	his	he	_	PRP$	_	7	nmod:poss	_	_
7	biscuit	biscuit	_	NN	_	4	nmod	_	_
8	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBD did) (SBAR (S (VP (MD will) (VP (VB have) (PP (IN with) (NP (PRP$ his) (NN biscuit))))))))) (. ?)))	jam
Discourse	mc500.train.0.17	mc500.train.0	What did she do while at the beach?	Story	"1	What	what	_	WP	_	4	dobj	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	she	she	_	PRP	_	4	nsubj	_	_
4	do	do	_	VB	_	0	root	_	_
5	while	while	_	IN	_	8	mark	_	_
6	at	at	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	beach	beach	_	NN	_	4	advcl	_	_
9	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (PRP she)) (VP (VB do) (SBAR (IN while) (FRAG (PP (IN at) (NP (DT the) (NN beach))))))) (. ?)))	swimming and laying out
Discourse	mc500.train.0.20	mc500.train.0	What did Alyssa eat at the restaurant?	Story	"1	What	what	_	WP	_	4	dobj	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	Alyssa	Alyssa	_	NNP	_	4	nsubj	_	_
4	eat	eat	_	VB	_	0	root	_	_
5	at	at	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	restaurant	restaurant	_	NN	_	4	nmod	_	_
8	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (NNP Alyssa)) (VP (VB eat) (PP (IN at) (NP (DT the) (NN restaurant))))) (. ?)))	catfish
Discourse	mc500.train.0.23	mc500.train.0	In Miami, where did Alyssa go first?	Story	"1	In	in	_	IN	_	2	case	_	_
2	Miami	Miami	_	NNP	_	0	root	_	_
3	,	,	_	,	_	2	punct	_	_
4	where	where	_	WRB	_	7	advmod	_	_
5	did	do	_	VBD	_	7	aux	_	_
6	Alyssa	Alyssa	_	NNP	_	7	nsubj	_	_
7	go	go	_	VB	_	2	acl:relcl	_	_
8	first	first	_	RB	_	7	advmod	_	_
9	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (PP (IN In) (NP (NNP Miami))) (, ,) (WHADVP (WRB where)) (SQ (VBD did) (NP (NNP Alyssa)) (VP (VB go) (ADVP (RB first)))) (. ?)))	The beach
Discourse	mc500.train.0.24	mc500.train.0	Where did Alyssa go after the beach?	Story	"1	Where	where	_	WRB	_	4	advmod	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	Alyssa	Alyssa	_	NNP	_	4	nsubj	_	_
4	go	go	_	VB	_	0	root	_	_
5	after	after	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	beach	beach	_	NN	_	4	nmod	_	_
8	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (NNP Alyssa)) (VP (VB go) (PP (IN after) (NP (DT the) (NN beach))))) (. ?)))	her friend Ellen’s house | Ellen’s house
Discourse	mc500.train.18.24	mc500.train.18	Which flowers were big?	Story	"1	Which	which	_	WDT	_	2	det	_	_
2	flowers	flower	_	NNS	_	4	dobj	_	_
3	were	be	_	VBD	_	4	cop	_	_
4	big	big	_	JJ	_	0	root	_	_
5	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHNP (WDT Which) (NNS flowers)) (SQ (VP (VBD were) (ADJP (JJ big)))) (. ?)))	The red ones
